"Derwent Innovation Patent Export, 2024-07-20 20:42:28 +0000 "
"Search results for: CMP=((""UBER"")) AND AD>=(18000101);","Collections searched: United States app; United States grant"""
Publication Number,Inventor,Publication Date,Application Date,Title - DWPI,Count of Citing Patents,Citing Patents,IPC - Current,US Class,Assignee/Applicant,Assignee - Original w/address,Optimized Assignee,Title,Abstract,Abstract - DWPI
US6992900B1,"Suzue, Osamu | Morimoto, Masaharu",2006-01-31,2005-06-14,"Board unit for use in communication device, has spring unit for applying resistance to insertion/extraction of stopper, when stopper is inserted/extracted with respect to stopper insertion hole",37,US10070549B2 | US10153564B1 | US10261554B1 | US10331180B1 | US20070002550A1 | US20070109760A1 | US20070188999A1 | US20070258224A1 | US20080025000A1 | US20090122496A1 | US20110182006A1 | US20110286187A1 | US20110297628A1 | US20130050964A1 | US20130229764A1 | US20150014912A1 | US20150198194A1 | US20170042054A1 | US7292456B2 | US7295447B2 | US7301778B1 | US7420820B1 | US7532486B2 | US7738255B2 | US8179680B1 | US8289707B2 | US8369094B2 | US8593827B1 | US8605440B2 | US8811025B2 | US9207724B2 | US9420716B2 | US9491882B2 | USD886830S1 | USD892811S1 | USD893505S1 | USD897351S1,H05K000712,361801 | 361726 | 361732 | 361740 | 361747 | 361754 | 361759 | 361798,"Uber Co. Ltd.,Osaka,JP","Uber Co. Ltd.,Osaka,JP ",UBER TECHNOLOGIES INC | SUZUE OSAMU,Board unit,"To provide a board unit having an insertion-extraction handle locking structure with which a desired locking force can be easily generated and the locking force is hardly lowered, and which is low in production cost. An insertion-extraction handle 5 is rotatably supported by a panel body 4. A spring unit 6 is resiliently held in a spring receiving hole 45 formed in the panel body 4 and has a first spring part 61 which, when a stopper part 53 of the insertion-extraction handle 5 is inserted into the spring receiving hole 45, applies a resistance to the insertion of the stopper part 53, and which, when the stopper part 53 is extracted from the spring receiving hole 45, applies a resistance to the extraction of the stopper part 53. Second spring parts 62 of the spring unit 6 are configured to generate a resistance to removal of the spring unit 6 which is greater than the resistance to the insertion of the stopper part 53 between the spring unit 6 and the spring receiving hole 45 when the stopper part 53 is inserted into the spring receiving hole 45 and to generate a resistance to removal of the spring unit 6 which is greater than the resistance to the extraction of the stopper part 53 between the spring unit 6 and the spring receiving hole 45 when the stopper part 53 is extracted from the stopper receiving hole 45.","A handle (5) supported by a board-supporting-panel (4), has a mechanism to be engaged/disengaged with respect to board frame, accompanied by insertion/extraction of a stopper (53) with respect to a stopper insertion hole (45) in the panel, according to position of an operation handle. A spring unit (6) applies resistance to insertion/extraction of stopper, when stopper is inserted/extracted with respect to the hole (45). | Board unit used as printed circuit board in communication device. | Provides board unit having insertion-extraction handle locking structure with which desired locking force is easily generated and locking force is not lowered, thereby reducing production cost. | The figure shows an enlarged view of the board unit.4panel5insertion-extraction handle6spring unit45stopper insertion hole53stopper",
US7221267B2,"Chalker, Matt D. | Kim, Jeffrey | Woo, Christina",2007-05-22,2003-12-03,"Communication method for alarm installation instructions, involves transmitting obtained installation instructions from database by remote processing system to wireless user interface according to alarm specifications of alarm system",36,US10149092B1 | US10165059B2 | US10200811B1 | US10299071B2 | US10313826B2 | US10341808B2 | US10341809B2 | US10750309B2 | US10750310B2 | US10750311B2 | US10769692B2 | US10791414B2 | US10856099B2 | US10950119B2 | US11356799B2 | US11526918B2 | US11527149B2 | US11778415B2 | US11823556B2 | US20130328678A1 | US20160232772A1 | US20180211301A1 | US9324223B2 | US9584960B1 | US9615199B1 | US9615204B1 | US9654921B1 | US9736618B1 | US9749790B1 | US9854394B1 | US9854402B1 | US9883360B1 | US9922520B2 | US9942705B1 | US9955298B1 | US9967704B1,G08B000108 | G06F000700,3405391 | 340506 | 34053911,"deCarta Inc.,San Jose,CA,US","deCarta Inc.,San Jose,CA,US ",UBER TECHNOLOGIES INC,User interface to aid system installation,"A system and method is provided that allows an installer to obtain detailed installation instructions specific to the hardware to be installed as well as the system to which the hardware is to be installed. The instructions are provided to the installer via a user interface, the interface permitting the installer to efficiently complete the installation process. In addition to step-by-step instructions and/or visual installation aids, the system allows the installer to quickly obtain additional details relating to a specific subsystem or component.","A remote processing system receives a set of alarm specifications corresponding to an alarm system from a wireless user interface. A set of installation instructions is obtained from a database coupled to the remote processing system, according to the received set of alarm specifications. The remote processing system transmits the obtained set of installation instructions to the wireless user interface. | An INDEPENDENT CLAIM is also included for an alarm installation data retrieving system. | For transmitting alarm installation instructions to alarm installer. | Improves installation process of alarm system by a user using received alarm installation instructions from remote processing system, even without requiring user to undergo training. | The figure shows the process flow of alarm installation instructions communication method.",
US7310509B2,"Bristow, Steven | Bentley, Richard | Durham, Bruce | Delory, Gregory",2007-12-18,2001-04-16,"Status data providing method for vehicle monitoring system, involves creating in fixed length data packet containing encoded status data, location data and alarm status data",11,GB2452454B | US10136276B2 | US20060020816A1 | US20060066445A1 | US20070118274A1 | US20070283005A1 | US20090043445A1 | US20110223880A1 | US8185618B2 | US9008894B2 | US9641692B2,H04M001100 | B60R002510 | G06Q001000 | G06Q003000 | G06Q004000 | G06Q005000 | G07C000300 | G07C000508 | G07C001100 | H04J000316 | H04L002908 | H04M000342 | H04W000400,455405 | 370389,"deCarta Inc.,San Jose,CA,US","deCarta Inc.,San Jose,CA,US ",SAMSUNG ELECTRONICS CO LTD,Software and protocol structure for an automated user notification system,"The present invention provides an automated user notification system for monitoring user items and notifying a user when selected conditions occur. A first portion of the notification system comprises a network operations center (NOC). The NOC stores user information about one or more user items and is further coupled to a plurality of communication devices that can automatically contact a user. A second portion of the notification system comprises at least one detector. The detector monitors one or more user items and provides efficiently encoded information regarding selected conditions of the user items to the NOC via a communication link. After the information is received and decoded by the NOC, the NOC automatically matches the received information to information stored at the NOC to determine if a condition exists about which the user should be notified.","The method involves encoding location data and alarm status data of carrier vehicle in 15 digit and 2 digit data field of fixed length data packet and transmitting the data to user's telephone. | INDEPENDENT CLAIMS are also included for the following:method of encoding status data;method of notifying user of an occurrence of event;apparatus for encoding status data;apparatus for providing status data; andapparatus for notifying the user of occurrence of event. | In vehicle monitoring system for automated notification of abnormality in car, home, etc. | The automated user notification system provides effective monitoring, notification and control for large number of users. | The fixed length data packets are encoded, transmitted using standards ELA/TIA-553 and IS-95/IS-136 protocols. The air link transmission is carried out according to IS-41 specifications. | The figure shows the schematic view of automated user notification system.100user notification system120,122,124,126communication channels",
US7489921B2,"Bristow, Steven | Bentley, Richard | Durham, Bruce | Delory, Gregory",2009-02-10,2005-01-13,User notification method in centralized monitoring service e.g. home security service involves performing automatic determination whether or not to notify user of an event based on decoded event data and notification instructions received,5,CN105654572A | US10136276B2 | US20070283005A1 | US8185618B2 | US9641692B2,B60R002510 | G06Q001000 | G06Q003000 | G06Q004000 | G06Q005000 | G07C000300 | G07C000508 | G07C001100 | H04L002908 | H04M000342 | H04W000400,4554122,"deCarta Inc.,San Jose,CA,US","deCarta Inc.,San Jose,CA,US ",SAMSUNG ELECTRONICS CO LTD,Software and protocol structure for an automated user notification system,"The present invention provides an automated user notification system for monitoring user items and notifying a user when selected conditions occur. A first portion of the notification system comprises a network operations center (NOC). The NOC stores user information about one or more user items and is further coupled to a plurality of communication devices that can automatically contact a user. A second portion of the notification system comprises at least one detector. The detector monitors one or more user items and provides efficiently encoded information regarding selected conditions of the user items to the NOC via a communication link. After the information is received and decoded by the NOC, the NOC automatically matches the received information to information stored at the NOC to determine if a condition exists about which the user should be notified.","The method involves encoding data packet with event data and transmitting data packet to an automated network operations center over a communication link. Automatic determination whether or not to notify a user of an event is performed based on the decoded event data and set of notification instructions received. | An INDEPENDENT CLAIM is included for a user notification apparatus. | For use in centralized monitoring service e.g. home security service and vehicle monitoring systems. | Prevents unauthorized use or removal of the vehicle without the owner's permission. Provide real-time and effective monitoring and control capability to detect theft of user item e.g. vehicles, residential property, commercial property and personal items. | The figure is the flow diagram of the operating method of the automated user notification system.",
US7504591B2,"Awaji, Teizou",2009-03-17,2008-01-10,"Gasket for electromagnetic shielding of gap in e.g. communication device, keeps distance from first end face to projecting tip of each lug greater than width of gasket holding hole even when lug is deformed under external forces",5,US20100128456A1 | US20120250248A1 | US20130250507A1 | US8173911B2 | US8897006B2,H05K000900,174355 | 174368 | 174369 | 277920 | 361800,"Uber Co. Ltd.,Osaka,JP","Uber Co. Ltd.,Osaka,JP ",UBER TECHNOLOGIES INC,Electromagnetic shielding gasket and electronic device provided therewith,"An electromagnetic shielding gasket is provided, which is capable of reducing the amount of projection from the inner surface of a first opposing wall having gasket holding holes and is less likely to come off through the gasket holding holes in the direction from the inner surface side toward the outer surface side of the first opposing wall. A communication device as an electronic device has a device body having a plural number of sub-casings and electromagnetic shielding gaskets 1. A first opposing wall 102a disposed on the sub-casing of the device body includes a plural number of gasket holding holes 104 and gasket guiding holes. The electromagnetic shielding gasket 1 has a gasket body 2 and a plural number of fitting parts 4 and come-off stopping parts 3. The fitting parts 4 are guided in the gasket guiding holes and then fitted in the gasket holding holes. The come-off stopping parts 3 are formed not to come off through the gasket holding holes 104 in the direction from the inner surface side to the outer surface side of the front wall 102a even if they deform under external forces.","The gasket (1) includes a come-off stopping section that is connected to a fitting section (4) and arranged on the inner wall surface side of a front wall (102a). The come-off stopper includes a first lug and a second lug which keep at least one of a first distance from a second end face to the projecting tip of the first lug and a second distance from a first end face to the projecting tip of the second lug greater than the width of a gasket holding hole even when the first or second lug is deformed under external forces. | Gasket for electromagnetic shielding of gap in electronic device (claimed) e.g. communication device. | Prevents the fitting section from coming off a gasket holding hole unless the gasket is bent or extended, so that the gasket is securely connected to the electronic device. Prevents the fitting section from coming off the gasket holding hole even if dimensional accuracy of the gasket holding hole is low. Allows time-wise scattering of resistance forces occurring due to friction when the fitting section passes the first end surface of the gasket holding hole, thus the gasket can be fitted in the electronic device body without exerting a great force. Facilitates the fitting of the fitting section from a gasket guiding hole through a guiding section into the gasket holding hole. | The drawing shows the perspective view of communication device with electromagnetic shielding gasket.1Gasket100Communication device101Device body102Sub-casing102aFront wall",
US7668765B2,"Tanaka, Hirohisa A. | Hendrey, Geoffrey R. | Koopman, Jr., Philip J.",2010-02-23,2001-07-05,Location-sensitive subsidized cellular telephone billing that provides incentive for user to use mobile telephone at specific geographic location,57,US10149092B1 | US10165059B2 | US10200811B1 | US10244124B2 | US10299071B2 | US10313826B2 | US10341808B2 | US10341809B2 | US10750309B2 | US10750310B2 | US10750311B2 | US10791414B2 | US10856099B2 | US11102356B2 | US11356799B2 | US11778415B2 | US20070207789A1 | US20090177536A1 | US20090177794A1 | US20100223555A1 | US20110045868A1 | US20110281553A1 | US20120041856A1 | US20140113584A1 | US20150087260A1 | US7747246B2 | US8233890B2 | US8234410B2 | US8238874B2 | US8417264B1 | US8498613B2 | US8526925B2 | US8560410B2 | US8594642B2 | US8983430B2 | US8989722B2 | US9037109B1 | US9088424B2 | US9204280B2 | US9288739B2 | US9420555B2 | US9544443B2 | US9584960B1 | US9615199B1 | US9615204B1 | US9654921B1 | US9736618B1 | US9740697B2 | US9749790B1 | US9854394B1 | US9854402B1 | US9860177B2 | US9883360B1 | US9934519B2 | US9942705B1 | US9955298B1 | US9967704B1,G07F001900 | H04M001500,705034 | 455406 | 455407 | 455408 | 4554561,"deCarta Inc.,San Jose,CA,US","deCarta Inc.,San Jose,CA,US ",UBER TECHNOLOGIES INC,"Method and apparatus for location-sensitive, subsidized cell phone billing","A method and system for determining a billing rate of a telecommunications connection is disclosed. The method and system may be used in a location aware telecommunications system that can determine the location of a telecommunications unit (TU) being used within the system. The geographic location of a mobile unit (MU) is determined, and compared to a list a predetermined subsidized zones. When the MU initiates or receives a call from within a subsidized zone, and the MU is otherwise responsible for paying a predetermined billing rate associated with the call, the predetermined rate is subsidized for at least the portion of the call made while the MU is located within the subsidized zone.","The geographic location of a mobile unit (MU) is determined, and compared to a list of set subsidized zones. When the mobile unit initiates or receives a call from within a subsidized zone, and the mobile unit is otherwise responsible for paying a set billing rate associated with the call. The set rate is subsidized for at least the part of the call made while the mobile unit is located within the subsidized zone. | For determining a billing rate of a telecommunications connection in a location aware telecommunications system. | Provides incentive for user to use mobile telephone at specific geographic location. | The drawing shows a schematic diagram of the system utilizing the method.",
US7725425B2,"Smartt, Brian E.",2010-05-25,2006-03-20,Method organising spatial data objects in map database by referencing data objects organises spatial data objects in map database by referencing data objects as location points in region to co-ordinate system,23,US10162860B2 | US10169412B2 | US10558659B2 | US10642831B2 | US10678792B2 | US10783142B2 | US11048679B2 | US11086876B2 | US11222018B2 | US11507590B2 | US11995059B2 | US20080140682A1 | US20100287207A1 | US20130066880A1 | US20140052711A1 | US8532925B2 | US8812488B2 | US8886652B2 | US9146948B2 | US9317529B2 | US9740718B2 | US9836519B2 | US9990398B2,G06F000900 | G06F001730,707770 | 707102 | 707724 | 707101 | 707003,"deCarta Inc.,San Jose,CA,US","deCarta Inc.,San Jose,CA,US ",UBER TECHNOLOGIES INC,System and method of optimizing database queries in two or more dimensions,"A method and system for storing and retrieving spatial data objects from a spatial database is discussed. The system stores multi-dimensional objects within the database by determining their position in a multi-tiered coordinate system. One each object has been assigned to a particular coordinate, the object is further assigned to one of many overlapping sections within the coordinate system. Each object is assigned to a particular section of the coordinate system depending on its overall size and position.","The method organises spatial data objects in a map database by referencing the data objects as location points in a region to a co-ordinate system (fig 12). The region is separated into multiple subregions, and the data objects whose location point falls within a subregion are assigned.This is carried out so long as no part of object extends outside the subregion by a predetermined amount. The location point of the data object is calculated by determining the minimum bounding rectangle for the data object. The multiple subregions have multiple tiers of subregions. | USEFor indexing database records which contain information describing position, size and shape of objects in two and three dimensional space. | ADVANTAGEImproves lag time for finding data.",
US10713285B2,"Smartt, Brian E. | Poppen, Richard F. | Dunn, Linnea A.",2020-07-14,2016-08-29,"Geographic object locating method in e.g. web-based digital mapping, involves specifying buffer distance, such that distance from any point within specified city to specified street does not exceed specified threshold",0,,G01C002130 | G01C002132 | G01C002134 | G01C002136 | G06F00162458 | G06F0016248 | G06F001629,,"Uber Technologies Inc.,San Francisco,CA,US","Uber Technologies Inc.,San Francisco,CA,US ",UBER TECHNOLOGIES INC,Geocoding locations near a specified city,"Specified streets or intersections that are within a specified distance of a specified city can be found by a search, even when they are not actually in that city. For computational efficiency, some addresses are included in search results even when they exceed the specified distance from the specified city by a small amount (“false positives”). The search method guarantees that no instance of the street name within the specified distance of the specified city is erroneously missed (“false negatives”).","Geographical location such as specified street or intersection that is within a specified distance of a specified city is determined, such that distance from any point within the city to the specified street/intersection does not exceed specified threshold that is equal to a specified buffer distance. | INDEPENDENT CLAIMS are also included for the following:geographic object location system; andcomputer program product for locating geographic object. | For digital mapping such as web-based mapping for locating desired addresses, intersections, or businesses. | Enables specified streets or intersections that are within a specified buffer distance of a specified city to be formed by a search, even when they are not actually in that city. Guarantees that no instance of the street name within the specified distance of the specified city is erroneously missed. Reduces/eliminates false positives-instances of the street name located more than the threshold distance from the buffer distance of the city. | The figure show the flowcharts explaining geographic object locating method.",
US9453739B2,"Smartt, Brian E. | Poppen, Richard F. | Dunn, Linnea A.",2016-09-27,2010-09-14,"Geographic object locating method in e.g. web-based digital mapping, involves specifying buffer distance, such that distance from any point within specified city to specified street does not exceed specified threshold",1,US11395093B2,G01C002130 | G01C002132 | G01C002134 | G01C002136 | G06F001730,001001,"Uber Technologies Inc.,San Francisco,CA,US | Smartt Brian E.,Sunnyvale,CA,US | Poppen Richard F.,San Jose,CA,US | Dunn Linnea A.,Bonny Doon,CA,US","Uber Technologies Inc.,San Francisco,CA,US | Smartt Brian E.,Sunnyvale,CA,US | Poppen Richard F.,San Jose,CA,US | Dunn Linnea A.,Bonny Doon,CA,US ",UBER TECHNOLOGIES INC,Geocoding locations near a specified city,"Specified streets or intersections that are within a specified distance of a specified city can be found by a search, even when they are not actually in that city. For computational efficiency, some addresses are included in search results even when they exceed the specified distance from the specified city by a small amount (“false positives”). The search method guarantees that no instance of the street name within the specified distance of the specified city is erroneously missed (“false negatives”).","Geographical location such as specified street or intersection that is within a specified distance of a specified city is determined, such that distance from any point within the city to the specified street/intersection does not exceed specified threshold that is equal to a specified buffer distance. | INDEPENDENT CLAIMS are also included for the following:geographic object location system; andcomputer program product for locating geographic object. | For digital mapping such as web-based mapping for locating desired addresses, intersections, or businesses. | Enables specified streets or intersections that are within a specified buffer distance of a specified city to be formed by a search, even when they are not actually in that city. Guarantees that no instance of the street name within the specified distance of the specified city is erroneously missed. Reduces/eliminates false positives-instances of the street name located more than the threshold distance from the buffer distance of the city. | The figure show the flowcharts explaining geographic object locating method.",
US7813873B2,"Smartt, Brian E. | Poppen, Richard F. | Dunn, Linnea A.",2010-10-12,2004-12-20,"Geographic object locating method in e.g. web-based digital mapping, involves specifying buffer distance, such that distance from any point within specified city to specified street does not exceed specified threshold",42,US10149092B1 | US10165059B2 | US10200811B1 | US10299071B2 | US10311756B1 | US10313826B2 | US10341808B2 | US10341809B2 | US10750309B2 | US10750310B2 | US10750311B2 | US10791414B2 | US10856099B2 | US11356799B2 | US11778415B2 | US20100161311A1 | US20150248192A1 | US8385964B2 | US8538458B2 | US8712441B2 | US8750898B2 | US8798593B2 | US8798645B2 | US8798647B1 | US8831635B2 | US9031581B1 | US9167558B2 | US9185522B1 | US9253616B1 | US9323854B2 | US9467832B2 | US9584960B1 | US9615204B1 | US9654921B1 | US9736618B1 | US9749790B1 | US9854394B1 | US9854402B1 | US9883360B1 | US9942705B1 | US9955298B1 | US9967704B1,G01C002130 | G01C002132 | G01C002134,701426 | 701208 | 340990 | 3409951 | 701431 | 701437 | 701457 | 701461 | 701516 | 701522 | 701200 | 701201 | 701202 | 701209 | 701211 | 701214,"deCarta Inc.,San Jose,CA,US","deCarta Inc.,San Jose,CA,US ",UBER TECHNOLOGIES INC,Geocoding locations near a specified city,"Specified streets or intersections that are within a specified distance of a specified city can be found by a search, even when they are not actually in that city. For computational efficiency, some addresses are included in search results even when they exceed the specified distance from the specified city by a small amount (“false positives”). The search method guarantees that no instance of the street name within the specified distance of the specified city is erroneously missed (“false negatives”).","Geographical location such as specified street or intersection that is within a specified distance of a specified city is determined, such that distance from any point within the city to the specified street/intersection does not exceed specified threshold that is equal to a specified buffer distance. | INDEPENDENT CLAIMS are also included for the following:geographic object location system; andcomputer program product for locating geographic object. | For digital mapping such as web-based mapping for locating desired addresses, intersections, or businesses. | Enables specified streets or intersections that are within a specified buffer distance of a specified city to be formed by a search, even when they are not actually in that city. Guarantees that no instance of the street name within the specified distance of the specified city is erroneously missed. Reduces/eliminates false positives-instances of the street name located more than the threshold distance from the buffer distance of the city. | The figure show the flowcharts explaining geographic object locating method.",
